year,district,species_name_raw,species_key,landing_qty_tonnes
2022-23,TCR,Lobsters,lobster,0.0
2022-23,MLPM,Lobsters,lobster,0.0
2022-23,KKD,Lobsters,lobster,0.0
2022-23,KNR,Lobsters,lobster,0.0
2022-23,KSD,Lobsters,lobster,0.0
2022-23,TVPM,Crabs,crab,130.0
2022-23,KLM,Crabs,crab,1922.0
2022-23,ALP,Crabs,crab,112.0
2022-23,EKM,Crabs,crab,1658.0
2022-23,TCR,Crabs,crab,82.0
2022-23,MLPM,Crabs,crab,493.0
2022-23,KKD,Crabs,crab,1239.0
2022-23,KNR,Crabs,crab,483.0
2022-23,KSD,Crabs,crab,315.0
2022-23,TVPM,Stomatopodes,,0.0
2022-23,KLM,Stomatopodes,,1.0
2022-23,ALP,Stomatopodes,,0.0
2022-23,EKM,Stomatopodes,,46.0
2022-23,TCR,Stomatopodes,,0.0
2022-23,MLPM,Stomatopodes,,0.0
2022-23,KKD,Stomatopodes,,0.0
2022-23,KNR,Stomatopodes,,0.0
2022-23,KSD,Stomatopodes,,0.0
2022-23,TVPM,Cephalopodes,indian_squid,5349.0
2022-23,KLM,Cephalopodes,indian_squid,12439.0
2022-23,ALP,Cephalopodes,indian_squid,6.0
2022-23,EKM,Cephalopodes,indian_squid,18590.0
2022-23,TCR,Cephalopodes,indian_squid,145.0
2022-23,MLPM,Cephalopodes,indian_squid,1098.0
2022-23,KKD,Cephalopodes,indian_squid,8225.0
2022-23,KNR,Cephalopodes,indian_squid,378.0
2022-23,KSD,Cephalopodes,indian_squid,45.0
2022-23,TVPM,Miscellaneous,,567.0
2022-23,KLM,Miscellaneous,,10829.0
2022-23,ALP,Miscellaneous,,24.0
2022-23,EKM,Miscellaneous,,21619.0
2022-23,TCR,Miscellaneous,,48.0
2022-23,MLPM,Miscellaneous,,1906.0
2022-23,KKD,Miscellaneous,,5804.0
2022-23,KNR,Miscellaneous,,28.0
2022-23,KSD,Miscellaneous,,57.0
2023-24,TVPM,Elasmobranchs,shark_ray,256.0
2023-24,KLM,Elasmobranchs,shark_ray,180.0
2023-24,ALP,Elasmobranchs,shark_ray,2.0
2023-24,EKM,Elasmobranchs,shark_ray,2347.0
2023-24,TCR,Elasmobranchs,shark_ray,22.0
